CID,SMILES,Hf /kJmol-1,Hf_spread /kJmol-1,density / gcm-3,det_velocity / kms-1,det_pressure / Gpa
C769,C1CCCCC1(O)c1ccccc1C,,,,,
C5537,C(C1CCCCC1O)c1ccccc1C,,,,,
C5583,C1CCCC(c2cc(O)ccc2)C1[N+](=O)[O-],,,,,
C2523,C1CCC2C(C#CC)CCC(C=O)C2C1,,,,,
C2534,CC1CCC(c2ccc(O)cc2)CC1,,,,,
C2911,C1CC(C2CC(O)CCC2)C(N=[N+]=[N-])C(N)C1,,,,,
C4846,C1CCC(O[N+](=O)[O-])CC1,,,,,
C6002,C1CCCCC1O[N+](=O)[O-],,,,,
C1062,CC1CCCCC1(O)c1ccc(C)cc1,,,,,
C5810,C(=C)C=O,,,,,
C3454,C1CC(c2ccccc2O)CCC1,,,,,
C2301,C1CCCC(c2c(O)cccc2)C1,,,,,
C5481,C1CC(c2ccccc2O)CCC1,,,,,
C4510,C1CCCCC1c1ccccc1O,,,,,
C1027,C1CCCCC1c1ccccc1O,,,,,
C1498,C1(c2ccc(C)cc2)CCCCC1O,,,,,
C3103,C1(c2cc(O)ccc2)CCCCC1,,,,,
C3838,C(CC)C=N,,,,,
C5489,C(CC)C=N,,,,,
C5422,CCCC=N,,,,,
C4942,C(C1CCCCC1)c1ccc(O)cc1,,,,,
C3934,CC1C(c2ccc(O)cc2)CCCC1,,,,,
C3967,CC1CC(c2cc(O)ccc2)CCC1,,,,,
C2076,C(C)C=N,,,,,
C572,CC(C)C(C)C=C,,,,,
C4949,C1CC(c2ccc3c(c2)cccc3)C2CCCCC2C1,,,,,
C4854,C1CCCCC1Oc1ccccc1C,,,,,
C947,CCC=N,,,,,
C5051,C1CCCCC1c1c(O)cccc1,,,,,
C5975,CC(Cc1ccccc1O)N=O,,,,,
C5081,C(C=C)CCC,,,,,
C6490,C1CCC(c2ccc(O)cc2)CC1,,,,,
C4036,C1CCCCC1c1ccc(O)cc1,,,,,
C5813,C1CCC2CCC(c3cccc4c3cccc4)CC2C1,,,,,
C4442,C1CCCC(c2cc(O)ccc2)C1,,,,,
C3562,CC(C)c1ccc(C)cc1,,,,,
C3106,CN,,,,,
C3650,CN,,,,,
C557,C(=C)CCC,,,,,
C5647,C(C=C)CC,,,,,
C535,CC(C)C=C,,,,,
C502,C=Cc1ccc(O)cc1,,,,,
C6461,C1CCC(C2CCC3CCC([N+](=O)[O-])C(C#C)C3C2)CC1,,,,,
C735,C(=C)CCC,,,,,
C453,C=CCCC,,,,,
C4700,C=CCCC,,,,,
C868,C1C(c2ccc(C)cc2)CCCC1,,,,,
C6374,C(C(C)CC)N=O,,,,,
C1697,C(C#C)C1CC(c2ccc(O)cc2)C2C(C1)CCCC2,,,,,
C1265,C(CC)c1ccccc1C,,,,,
C2631,C(=C)O[N+](=O)[O-],,,,,
C2567,C(=C)O[N+](=O)[O-],,,,,
C6058,CC=CC,,,,,
C5086,CCC=C,,,,,
C916,CCC=C,,,,,
C1571,CCC=C,,,,,
C6018,C1(C=C)CCCCC1,,,,,
C6313,CC=C[N+](=O)[O-],,,,,
C2940,C(C=C)[N+](=O)[O-],,,,,
C5402,C1(N=[N+]=[N-])CCCC(O)C1,,,,,
C4169,C=CC1CCCCC1,,,,,
C4703,C1(N=O)CCCCC1,,,,,
C4501,CCCC1(C)CCC(N=O)CC1,,,,,
C089,C1CCCCC1N=O,,,,,
C1433,CC=CN,,,,,
C5645,C1CCCCC1C=C,,,,,
C5585,C=CC1CCCCC1,,,,,
C1356,CC=C,,,,,
C3544,C(=C)C,,,,,
C1079,C(=C)C,,,,,
C4466,C=CC,,,,,
C6264,CC=C,,,,,
C3629,C1CCC(c2ccc(C)cc2)CC1,,,,,
C5640,C(CC)N=O,,,,,
C444,Cc1ccccc1C,,,,,
C1826,C1CC(CC=C)CCC1,,,,,
C2818,C1CCC(CC=C)CC1,,,,,
C4557,C1CCCCC1CC=C,,,,,
C3092,C1CCCCC1CC=C,,,,,
C5529,C1(c2ccccc2C)CCCCC1,,,,,
C5624,C1CCCC(CC=C)C1,,,,,
C4750,C(C#C)C(=O)C,,,,,
C2809,C(=C)[N+](=O)[O-],,,,,
C5354,CC1CCCCC1C=C,,,,,
C4975,C(C#C)C=O,,,,,
