MOL,exp e /kJ mol,mace e /eV,M062X H /Eh,wB97X-V H /Eh,CAM-B3LYP H /Eh,wB97XD-D3BJ /Eh,MN15 H /Eh,B2PLYP H /Eh,SMILES,REF
o-tolualdehyde,-66.4,-10476.5342465836,-384.71637262,-384.76088695,-384.67536254,-385.04987162,-384.41311971,-384.61039012,Cc1ccccc1C=O,ATcT
methyl_nitrite,-64.98,-6669.8777011186,-244.95037785,-244.97076551,-244.96012777,-245.11458866,-244.78713875,-244.90675189,CON=O,ATcT
dinitromethane,-58.9943,-12237.9469218681,-449.43974032,-449.46925068,-449.45864064,-449.71380362,-449.14611614,-449.36994262,C([N+](=O)[O-])[N+](=O)[O-],ATcT
Dinitromethane,-58.9,-12237.947007342,-449.43878019,-449.46924416,-449.45863309,-449.71283862,-449.1460395,-449.36996031,[O-][N+](=O)C[N+]([O-])=O,NIST
ethylamine,-57.7,-3677.9876193469,-135.0575032,-135.08494227,-135.05481669,-135.19993363,-134.95050222,-135.02134494,CCN,NIST
Cyclopentanamine,-54.86,-6854.783220221,-251.70979188,-251.76317781,-251.68919336,-251.97436104,-251.50749202,-251.63419125,NC1CCCC1,NIST
1_2-propanediamine,-53.60,-6254.4650649056,-229.67115712,-229.71139818,-229.660914,-229.89737104,-229.49013305,-229.60645992,CC(N)CN,NIST
Piperidine,-47.15,-6854.7462292262,-251.70914109,-251.76033139,-251.68689853,-251.97233448,-251.50536192,-251.63087036,C1CCNCC1,NIST
1-nitro-piperidine,-44.0,-12423.0525431428,-456.20885164,-456.26801025,-456.19350797,-456.57941091,-455.87632357,-456.09832094,[O-][N+](=O)N1CCCCC1,NIST
3-pyridinol,-43.7,-8806.4524382526,-323.39783317,-323.42372687,-323.3702511,-323.64885909,-323.15051095,-323.31116023,OC1=CC=CN=C1,NIST
4-pyridinol,-40.8,-8806.557829134,-323.40167889,-323.42798143,-323.37415564,-323.65309005,-323.15423494,-323.31495026,OC1=CC=NC=C1,NIST
Methoxyacetonitrile,-35.65,-6730.5334084166,-247.16772528,-247.18824627,-247.15495256,-247.35778586,-246.98009763,-247.10578807,COCC#N,NIST
2-Nitrofuran,-29.0,-11829.7453344922,-434.44005608,-434.46785808,-434.43004043,-434.72810963,-434.14033494,-434.34786126,[O-][N+](=O)c1occc1,NIST
Acetaldoxime,-22.55,-5692.5645571437,-209.04762291,-209.07063419,-209.04611978,-209.21377688,-208.89631967,-209.00004556,CC=NO,NIST
dimethylamine,-19.0,-3677.6371162327,-135.04602714,-135.07301642,-135.04318052,-135.18777236,-134.93966604,-135.00911125,CNC,NIST
ethylenediamine,-17.0,-5184.66713702,-190.38795249,-190.41921063,-190.38320573,-190.56984425,-190.23938905,-190.33693914,NCCN,NIST
Oxazole,-15.5,-6698.8619877928,-246.00710029,-246.02371672,-245.99079158,-246.18357993,-245.82672366,-245.94264501,o1ccnc1,NIST
Pyrrolidine,-3.6,-5784.8046881423,-212.42274786,-212.46628331,-212.40618401,-212.64276601,-212.25247538,-212.35978392,C1CCNC1,NIST
1_3-dimethyl-2-nitrobenzene,8.6,-14029.1432523974,-515.18618107,-515.24350484,-515.15000043,-515.60387949,-514.79712908,-515.06020173,Cc1cccc(C)c1[N+]([O-])=O,NIST
1_3_dimethyl_2_nitrobenzene,8.7864,-14029.1431506634,-515.1862745,-515.24355146,-515.14992249,-515.60393024,-514.79717689,-515.0602175,CC1=C(C(=CC=C1)C)[N+](=O)[O-],ATcT
p-xylene,17.9,-8460.7807669742,-310.68086666,-310.73337274,-310.63954193,-310.99372984,-310.42190194,-310.58665604,CC1=CC=C(C)C=C1,NIST
o-xylene,19.0,-8460.7762820534,-310.68232395,-310.73206704,-310.63939214,-310.99242584,-310.42392422,-310.5869177,CC1=C(C)C=CC=C1,NIST
