MOL,exp e /kJ mol,mace e /eV,SMILES,REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Methyl-1H-tetrazol-5-amine,302.4,-9606.4870283042,CN1NN=NC1=N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Pyrroline,63.0,-5752.5638084308,C1CC=NC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-butynylbenzene,248.6,-10534.0832261099,CCC#CC1=CC=CC=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-methyl-1H-Tetrazole,322.9,-8100.6253474028,CN1C=NN=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-methyl-1H-pyrrole,103.1,-6790.1298922034,Cn1cccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-nitro-piperidine,-44.0,-12423.0525431428,[O-][N+](=O)N1CCCCC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1H-imidazole,128.0,-6157.9953533175,N1C=CN=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1H-pyrazole,181.0,-6157.4819291523,N1C=CC=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_1-Dinitroethylazide,253.0,-17762.1019330211,CC(N=[N+]=[N-])([N+]([O-])=O)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2-butanediamine,-73.55,-7324.0719621160,CCC(N)CN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2-propanediamine,-53.60,-6254.4650649056,CC(N)CN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_3-diazine,195.8,-7195.3301620343,c1cncnc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_3-dimethyl-2-nitrobenzene,8.6,-14029.1432523974,Cc1cccc(C)c1[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_3_5-triazine,225.87,-7632.5064883768,C1=NC=NC=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_4-dinitro-piperazine,58.0,-18427.9777300481,[O-][N+](=O)N1CCN(CC1)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_4-dinitroso-piperazine,194.0,-14333.6440168668,O=NN1CCN(CC1)N=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_5-dimethyl-1H-tetrazole,273.2,-9170.5693609602,CN1N=NN=C1C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_5-dimethyl-2H-tetrazole,251.2,-9170.6790450208,CN1N=NC(C)=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aminobenzoic_acid,-296.2,-12963.0936896137,NC1=C(C=CC=C1)C(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aminopyridine,118.1,-8265.5358340515,NC1=CC=CC=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Butynedinitrile,533.46,-7128.5611843795,N#CC#CC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methyl-1_2-propanediamine,-90.25,-7324.2660772892,CC(C)(N)CN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methyl-4-hydroxypyridine,-71.7,-9876.4338136632,CC1=NC=CC(O)=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methylpiperidine,-84.5,-7924.3205352170,CC1CCCCN1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Nitrofuran,-29.0,-11829.7453344922,[O-][N+](=O)c1occc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Propanamine,-83.7,-4747.7734096398,CC(N)C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Propenamide,-130.2,-13430.4432226590,NC(=O)C=COC(=N)C=C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Propenenitrile,179.7,-4650.2869430426,C=CC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Pyridinecarbonitrile,280.7,-9270.0932339109,N#Cc1ccccn1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Pyrrolidinone,-197.4,-7801.8292135410,O=C1CCCN1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-aminophenol,-104.4,-9876.4966307432,NC1=C(O)C=CC=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-ethyl-1H-imidazole,68.3,-8297.53273453,CCc1[nH]ccn1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methyl-1H-imidazole,89.8,-7227.8925996671,Cc1[nH]ccn1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methyl-2-nitro-propane,-177.1,-9879.4082610805,CC(C)(C)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methyl-2-propanamine,-120.9,-5817.5999392711,CC(C)(C)N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methyl-3-pyridinol,-84.5,-9876.3146887567,Cc1ncccc1O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methyl-propanamide,-282.6,-7834.1807359457,CC(C)C(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methylpyridine,98.95,-7828.0994279054,Cc1ccccn1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-nitrophenol,-132.3,-13938.125898008,Oc1ccccc1[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_3-dimethylpyrazine,126.0,-9334.9044500415,Cc1nccnc1C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_3-dimethylpyridine,68.3,-8897.8772027285,Cc1cccnc1C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_4_6-tnt,24.1,-24095.890544881,CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_5-dimethyl-1H-pyrrole,39.7,-7860.2702395001,Cc1[nH]c(C)cc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_5-dimethylpyridine,66.4,-8897.8866060941,Cc1ccc(C)nc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_6-Dimethylbenzonitrile,146.2,-10972.8561843984,Cc1cccc(C)c1C#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Aminobenzoic_acid,-289.3,-12962.9416033915,NC1=CC=CC(=C1)C(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
